student_id,gender,age_group,class_level,boarding_status,repeated_class,socioeconomic_status,guardian_type,parent_education_level,parent_involvement,parent_meeting_attendance,home_study_environment,number_of_siblings,receives_scholarship,internet_access_quality,has_personal_device,electricity_reliability,distance_from_school_km,commute_time_minutes,transport_mode,financial_stress_level,tuition_payment_status,meals_per_day,has_part_time_job,stress_level,sleep_hours_per_night,mental_health_indicator,exam_anxiety_level,motivation_level,peer_relationship_quality,school_satisfaction,attendance_rate,participation_level,extracurricular_involvement,library_usage,peer_collaboration,preferred_learning_style,math_score,english_score,science_score,social_studies_score,average_score,prev_math_score,prev_english_score,prev_science_score,prev_social_studies_score,prev_average_score,score_trend,study_hours_per_day,assignment_completion_rate,homework_submission_consistency,hardest_subject,teacher_accessibility_rating,receives_extra_tutoring,counselor_visits_per_term,exam_preparation_level,mock_exam_score,waec_subject_count,primary_challenge,support_needed,pass_fail,risk_level,dropout_risk
STU_0001,Male,13-15,JSS3,Boarding,No,Lower-Middle,Single Parent,Secondary,Very High,Often,Fair,6,No,Good,No,Very Unreliable,44.6,180,School Bus,High,Partial,2,No,Low,8.5,Concerning,Low,High,Fair,Satisfied,59.9,Moderate,No Activity,Daily,Sometimes,Visual,53.4,66.7,63.7,75.2,64.8,59.6,68.5,59.2,85.5,68.2,Stable,1-2hrs,71-90%,Often,Mathematics,Good,Yes,1,,,,I find mathematics very difficult,Reduction in homework load,Pass,Medium,Medium
STU_0002,Female,13-15,SS2,Day Student,No,Lower-Middle,Single Parent,Primary,Low,Rarely,Good,2,No,Fair,No,Moderate,2.3,21,Motorcycle,High,Partial,2,No,Moderate,6.2,Good,Very High,Low,Fair,Neutral,71.6,Moderate,2 Activities,Monthly,Rarely,Auditory,55.4,38.2,50.4,54.3,49.6,60.2,45.6,53.7,53.1,53.2,Stable,<1hr,71-90%,Always,English,Fair,No,0,Very Poor,43.3,7.0,I find mathematics very difficult,Financial aid or scholarship support,Fail,High,Low
STU_0003,Female,13-15,JSS2,Day Student,No,Middle,Single Parent,OND/NCE,Very High,Never,Good,5,Yes,Good,No,Moderate,34.8,180,School Bus,Moderate,Partial,3,No,Moderate,7.2,Fair,Moderate,High,Poor,Satisfied,59.9,High,No Activity,Never,Always,Reading/Writing,60.0,85.1,73.6,81.1,74.9,54.4,76.1,67.1,76.8,68.6,Improving,>4hrs,Below 50%,Rarely,Mathematics,Fair,Yes,0,,,,Poor internet connection at home,Better internet access within school,Pass,Low,Low
STU_0004,Female,13-15,JSS3,Day Student,No,Lower-Middle,Guardian/Relative,Secondary,High,Always,Good,0,No,Very Poor,No,Very Unreliable,7.2,43,Bus/Danfo,Moderate,Paid,3,No,Low,8.5,Good,High,Moderate,Poor,Dissatisfied,64.6,Moderate,3+ Activities,Weekly,Often,Visual,52.0,54.2,64.0,72.3,60.6,45.7,62.4,67.6,72.9,62.2,Stable,3-4hrs,71-90%,Always,Mathematics,Good,No,2,,,,Mental fatigue from combined school and home demands,Reduction in homework load,Pass,Low,Low
STU_0005,Male,16-18,SS2,Day Student,No,Low,Guardian/Relative,BSc/HND,Low,Sometimes,Very Poor,3,No,Very Poor,Yes,Very Unreliable,7.3,49,Bus/Danfo,High,Paid,3,Yes,High,5.7,Good,Very High,Low,Fair,Satisfied,65.6,Very Low,2 Activities,Weekly,Sometimes,Mixed,36.0,50.3,47.7,39.3,43.3,47.0,47.7,49.9,41.0,46.4,Stable,<1hr,50-70%,Always,Social Studies,Good,No,5,Good,44.1,9.0,Poor internet connection at home,Consistent electricity supply for night reading,Fail,Critical,Medium
STU_0006,Male,13-15,SS1,Day Student,No,Lower-Middle,Both Parents,BSc/HND,Low,Often,Fair,3,No,Fair,Yes,Unreliable,39.4,180,Bus/Danfo,High,Outstanding,2,No,Low,7.1,Good,Very High,Very High,Good,Very Dissatisfied,54.1,Low,1 Activity,Daily,Rarely,Reading/Writing,42.0,45.4,63.4,43.7,48.6,44.6,42.3,72.7,48.8,52.1,Stable,3-4hrs,Below 50%,Sometimes,Mathematics,Poor,No,1,Fair,53.9,8.0,Financial burden of buying data for online research,Reduction in homework load,Fail,High,High
STU_0007,Male,13-15,SS1,Boarding,No,Middle,Both Parents,Secondary,Very High,Never,Very Poor,2,No,Poor,No,Reliable,8.2,51,Motorcycle,Low,Paid,3,No,High,6.4,Fair,Moderate,Low,Fair,Satisfied,82.3,Very High,1 Activity,Weekly,Always,Auditory,53.3,66.1,53.8,70.1,60.8,47.6,68.9,41.5,69.1,56.8,Stable,3-4hrs,50-70%,Sometimes,Mathematics,Good,No,1,Fair,69.0,8.0,Financial burden of buying data for online research,Extra tutoring in mathematics and science,Pass,Low,Low
STU_0008,Female,16-18,SS2,Day Student,No,Low,Both Parents,BSc/HND,Very Low,Sometimes,Fair,2,No,Poor,Yes,Very Unreliable,8.9,55,Motorcycle,Low,Paid,2,No,High,5.4,Concerning,Moderate,High,Good,Neutral,57.1,Moderate,1 Activity,Never,Sometimes,Reading/Writing,57.2,53.2,40.2,55.9,51.6,56.9,38.8,47.3,61.4,51.1,Stable,<1hr,50-70%,Sometimes,Science,Good,No,3,Poor,55.3,9.0,Low confidence in science subjects,Extra tutoring in mathematics and science,Pass,High,Low
STU_0009,Female,10-12,JSS1,Day Student,No,Middle,Both Parents,OND/NCE,Moderate,Sometimes,Poor,1,Yes,Fair,Yes,Reliable,1.0,5,Bus/Danfo,Moderate,Partial,3,No,Low,8.8,Fair,High,Very High,Good,Dissatisfied,69.8,Low,No Activity,Monthly,Often,Auditory,58.8,60.4,69.5,60.9,62.4,66.4,62.8,67.4,58.8,63.8,Stable,>4hrs,71-90%,Always,Mathematics,Fair,No,3,,,,Financial burden of buying data for online research,Financial aid or scholarship support,Pass,Low,Low
STU_0010,Female,16-18,SS3,Day Student,No,Middle,Both Parents,OND/NCE,Moderate,Often,Very Poor,4,No,Fair,No,Moderate,1.3,10,Walking,Very High,Paid,3,Yes,Low,7.0,Good,Moderate,Low,Excellent,Satisfied,67.6,Moderate,1 Activity,Rarely,Never,Auditory,40.5,40.8,23.6,37.5,35.6,34.2,38.9,11.1,37.8,30.5,Improving,3-4hrs,50-70%,Rarely,Science,Fair,No,0,Fair,43.0,8.0,Difficulty understanding some teachers,Reduction in homework load,Fail,High,Medium
